ЧМ-2026 — плей-офф
Часовой пояс: Asia/Yekaterinburg (UTC+5, YEKT)

Обозначения:
  1-A / 2-B — место в группе; 3-ABCDF — лучшая из третьих мест указанных групп
  W73 — победитель матча №73; L101 — проигравший полуфинала №1

1/16 финала (Round of 32) — 28 июня — 4 июля

| Дата (Уфа) | Время (Уфа) | Матч | Стадион, город |
| --- | --- | --- | --- |
| 29 июня | 00:00 | М73: 2-A vs 2-B | SoFi Stadium, Лос-Анджелес |
| 29 июня | 22:00 | М76: 1-C vs 2-F | NRG Stadium, Хьюстон |
| 30 июня | 01:30 | М74: 1-E vs 3-ABCDF | Gillette Stadium, Бостон |
| 30 июня | 06:00 | М75: 1-F vs 2-C | Estadio BBVA, Монтеррей |
| 30 июня | 22:00 | М78: 2-E vs 2-I | AT&T Stadium, Арлингтон |
| 1 июля | 02:00 | М77: 1-I vs 3-CDFGH | MetLife Stadium, Нью-Джерси |
| 1 июля | 06:00 | М79: 1-A vs 3-CEFHI | Estadio Azteca, Мехико |
| 1 июля | 21:00 | М80: 1-L vs 3-EHIJK | Mercedes-Benz Stadium, Атланта |
| 2 июля | 01:00 | М82: 1-G vs 3-AEHIJ | Lumen Field, Сиэтл |
| 2 июля | 05:00 | М81: 1-D vs 3-BEFIJ | Levi's Stadium, Санта-Клара |
| 3 июля | 00:00 | М84: 1-H vs 2-J | SoFi Stadium, Лос-Анджелес |
| 3 июля | 04:00 | М83: 2-K vs 2-L | BMO Field, Торонто |
| 3 июля | 08:00 | М85: 1-B vs 3-DFGIJ | BC Place, Ванкувер |
| 3 июля | 23:00 | М88: 2-D vs 2-G | AT&T Stadium, Арлингтон |
| 4 июля | 03:00 | М86: 1-J vs 2-H | Hard Rock Stadium, Майами |
| 4 июля | 06:30 | М87: 1-K vs 3-DEIJL | Arrowhead Stadium, Канзас-Сити |
