№;Стадия;Дата (Уфа);Время (Уфа);Пара;Стадион;Город
73;1/16 финала;29 июня;00:00;2-A vs 2-B;SoFi Stadium;Лос-Анджелес
76;1/16 финала;29 июня;22:00;1-C vs 2-F;NRG Stadium;Хьюстон
74;1/16 финала;30 июня;01:30;1-E vs 3-ABCDF;Gillette Stadium;Бостон
75;1/16 финала;30 июня;06:00;1-F vs 2-C;Estadio BBVA;Монтеррей
78;1/16 финала;30 июня;22:00;2-E vs 2-I;AT&T Stadium;Арлингтон
77;1/16 финала;1 июля;02:00;1-I vs 3-CDFGH;MetLife Stadium;Нью-Джерси
79;1/16 финала;1 июля;06:00;1-A vs 3-CEFHI;Estadio Azteca;Мехико
80;1/16 финала;1 июля;21:00;1-L vs 3-EHIJK;Mercedes-Benz Stadium;Атланта
82;1/16 финала;2 июля;01:00;1-G vs 3-AEHIJ;Lumen Field;Сиэтл
81;1/16 финала;2 июля;05:00;1-D vs 3-BEFIJ;Levi's Stadium;Санта-Клара
84;1/16 финала;3 июля;00:00;1-H vs 2-J;SoFi Stadium;Лос-Анджелес
83;1/16 финала;3 июля;04:00;2-K vs 2-L;BMO Field;Торонто
88;1/16 финала;3 июля;23:00;2-D vs 2-G;AT&T Stadium;Арлингтон
86;1/16 финала;4 июля;03:00;1-J vs 2-H;Hard Rock Stadium;Майами
85;1/16 финала;3 июля;08:00;1-B vs 3-DFGIJ;BC Place;Ванкувер
87;1/16 финала;4 июля;06:30;1-K vs 3-DEIJL;Arrowhead Stadium;Канзас-Сити
90;1/8 финала;4 июля;22:00;W73 vs W75;NRG Stadium;Хьюстон
89;1/8 финала;5 июля;02:00;W74 vs W77;Lincoln Financial Field;Филадельфия
91;1/8 финала;6 июля;01:00;W76 vs W78;MetLife Stadium;Нью-Джерси
92;1/8 финала;6 июля;05:00;W79 vs W80;Estadio Azteca;Мехико
93;1/8 финала;7 июля;00:00;W83 vs W84;AT&T Stadium;Арлингтон
94;1/8 финала;7 июля;04:00;W81 vs W82;Lumen Field;Сиэтл
95;1/8 финала;7 июля;21:00;W86 vs W88;Mercedes-Benz Stadium;Атланта
96;1/8 финала;8 июля;01:00;W85 vs W87;BC Place;Ванкувер
97;1/4 финала;10 июля;01:00;W89 vs W90;Gillette Stadium;Бостон
98;1/4 финала;11 июля;00:00;W93 vs W94;SoFi Stadium;Лос-Анджелес
99;1/4 финала;11 июля;02:00;W91 vs W92;Hard Rock Stadium;Майами
100;1/4 финала;11 июля;06:00;W95 vs W96;Arrowhead Stadium;Канзас-Сити
101;1/2 финала;15 июля;00:00;W97 vs W98;AT&T Stadium;Арлингтон
102;1/2 финала;16 июля;00:00;W99 vs W100;Mercedes-Benz Stadium;Атланта
103;Матч за 3-е место;19 июля;02:00;L101 vs L102;Hard Rock Stadium;Майами
104;Финал;20 июля;00:00;W101 vs W102;MetLife Stadium;Ист-Разерфорд, Нью-Джерси
