ЧМ-2026 — полное расписание плей-офф
Часовой пояс: Asia/Yekaterinburg (UTC+5, YEKT)
Источник: официальная сетка FIFA / расписание матчей 73–104

Стадии:
  1/16 финала — 28 июня – 4 июля
  1/8 финала — 4–7 июля
  1/4 финала — 9–12 июля
  1/2 финала — 14–15 июля
  Матч за 3-е место — 19 июля
  Финал — 20 июля (00:00 по Уфе)


## 1/16 финала

| Дата (Уфа) | Время (Уфа) | Матч | Пара | Стадион, город |
| --- | --- | --- | --- | --- |
| 29 июня | 00:00 | М73 | 2-A vs 2-B | SoFi Stadium, Лос-Анджелес |
| 29 июня | 22:00 | М76 | 1-C vs 2-F | NRG Stadium, Хьюстон |
| 30 июня | 01:30 | М74 | 1-E vs 3-ABCDF | Gillette Stadium, Бостон |
| 30 июня | 06:00 | М75 | 1-F vs 2-C | Estadio BBVA, Монтеррей |
| 30 июня | 22:00 | М78 | 2-E vs 2-I | AT&T Stadium, Арлингтон |
| 1 июля | 02:00 | М77 | 1-I vs 3-CDFGH | MetLife Stadium, Нью-Джерси |
| 1 июля | 06:00 | М79 | 1-A vs 3-CEFHI | Estadio Azteca, Мехико |
| 1 июля | 21:00 | М80 | 1-L vs 3-EHIJK | Mercedes-Benz Stadium, Атланта |
| 2 июля | 01:00 | М82 | 1-G vs 3-AEHIJ | Lumen Field, Сиэтл |
| 2 июля | 05:00 | М81 | 1-D vs 3-BEFIJ | Levi's Stadium, Санта-Клара |
| 3 июля | 00:00 | М84 | 1-H vs 2-J | SoFi Stadium, Лос-Анджелес |
| 3 июля | 04:00 | М83 | 2-K vs 2-L | BMO Field, Торонто |
| 3 июля | 23:00 | М88 | 2-D vs 2-G | AT&T Stadium, Арлингтон |
| 4 июля | 03:00 | М86 | 1-J vs 2-H | Hard Rock Stadium, Майами |
| 3 июля | 08:00 | М85 | 1-B vs 3-DFGIJ | BC Place, Ванкувер |
| 4 июля | 06:30 | М87 | 1-K vs 3-DEIJL | Arrowhead Stadium, Канзас-Сити |

## 1/8 финала

| Дата (Уфа) | Время (Уфа) | Матч | Пара | Стадион, город |
| --- | --- | --- | --- | --- |
| 4 июля | 22:00 | М90 | W73 vs W75 | NRG Stadium, Хьюстон |
| 5 июля | 02:00 | М89 | W74 vs W77 | Lincoln Financial Field, Филадельфия |
| 6 июля | 01:00 | М91 | W76 vs W78 | MetLife Stadium, Нью-Джерси |
| 6 июля | 05:00 | М92 | W79 vs W80 | Estadio Azteca, Мехико |
| 7 июля | 00:00 | М93 | W83 vs W84 | AT&T Stadium, Арлингтон |
| 7 июля | 04:00 | М94 | W81 vs W82 | Lumen Field, Сиэтл |
| 7 июля | 21:00 | М95 | W86 vs W88 | Mercedes-Benz Stadium, Атланта |
| 8 июля | 01:00 | М96 | W85 vs W87 | BC Place, Ванкувер |

## 1/4 финала

| Дата (Уфа) | Время (Уфа) | Матч | Пара | Стадион, город |
| --- | --- | --- | --- | --- |
| 10 июля | 01:00 | М97 | W89 vs W90 | Gillette Stadium, Бостон |
| 11 июля | 00:00 | М98 | W93 vs W94 | SoFi Stadium, Лос-Анджелес |
| 11 июля | 02:00 | М99 | W91 vs W92 | Hard Rock Stadium, Майами |
| 11 июля | 06:00 | М100 | W95 vs W96 | Arrowhead Stadium, Канзас-Сити |

## 1/2 финала

| Дата (Уфа) | Время (Уфа) | Матч | Пара | Стадион, город |
| --- | --- | --- | --- | --- |
| 15 июля | 00:00 | М101 | W97 vs W98 | AT&T Stadium, Арлингтон |
| 16 июля | 00:00 | М102 | W99 vs W100 | Mercedes-Benz Stadium, Атланта |

## Матч за 3-е место

| Дата (Уфа) | Время (Уфа) | Матч | Пара | Стадион, город |
| --- | --- | --- | --- | --- |
| 19 июля | 02:00 | М103 | L101 vs L102 | Hard Rock Stadium, Майами |

## Финал

| Дата (Уфа) | Время (Уфа) | Матч | Пара | Стадион, город |
| --- | --- | --- | --- | --- |
| 20 июля | 00:00 | М104 | W101 vs W102 | MetLife Stadium, Ист-Разерфорд, Нью-Джерси |
